0 0.1382
1 0.1198
2 0.106
3 0.0938
4 0.0726
5 0.066
6 0.0588
7 0.0475
8 0.0388
9 0.036
10 0.0309
11 0.0265
12 0.0226
13 0.0204
14 0.0159
15 0.0149
16 0.0134
17 0.0108
18 0.0083
19 0.0083
20 0.0071
21 0.0055
22 0.005
23 0.0047
24 0.0039
25 0.0045
26 0.0025
27 0.0023
28 0.0017
29 0.0019
30 0.0021
31 0.0009
32 0.001
33 0.0009
34 0.0012
35 0.0005
36 0.0005
37 0.0008
38 0.0006
39 0.0007
40 0.0002
41 0.0004
42 0.0001
43 0.0004
44 0.0002
45 0.0001
47 0.0003
50 0.0001
52 0.0001
53 0.0001
54 0.0001
58 0.0001
