0 512
1 458
2 485
3 400
4 406
5 353
6 333
7 287
8 331
9 325
10 297
11 286
12 272
13 251
14 231
15 238
16 209
17 205
18 227
19 190
20 171
21 161
22 159
23 150
24 138
25 149
26 128
27 121
28 125
29 110
30 98
31 102
32 89
33 98
34 97
35 84
36 68
37 74
38 75
39 82
40 79
41 64
42 53
43 66
44 51
45 52
46 50
47 42
48 43
49 49
50 42
51 54
52 40
53 34
54 37
55 39
56 34
57 20
58 24
59 21
60 26
61 20
62 25
63 17
64 21
65 23
66 15
67 22
68 16
69 20
70 15
71 12
72 17
73 8
74 18
75 14
76 17
77 13
78 10
79 11
80 12
81 5
82 9
83 11
84 15
85 7
86 8
87 7
88 4
89 7
90 2
91 9
92 3
93 4
94 5
95 4
96 5
97 5
98 2
99 5
100 3
101 5
102 2
104 3
105 6
106 1
107 1
108 2
109 2
110 1
111 4
112 1
114 1
115 2
117 1
120 1
121 1
124 1
125 2
127 1
128 2
129 2
130 1
131 1
132 4
133 1
136 1
139 2
144 1
145 1
158 1
169 1
176 1
177 1
186 1
